"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG"
"1","Antonio Brown","","","WR1","","","1.0"
"2","Odell Beckham Jr.","","","WR2","","","2.7"
"3","Todd Gurley","II","","RB1","","","3.5"
"4","Julio Jones","","","WR3","","","4.3"
"5","David Johnson","","","RB2","","","4.5"
"6","Adrian Peterson","","","RB3","","","6.3"
"7","Ezekiel Elliott","","","RB4","","","6.8"
"8","DeAndre Hopkins","BAL","8","WR4","","","8.2"
"9","Rob Gronkowski","","","TE1","","","10.2"
"10","A.J. Green","","","WR5","","","10.5"
"11","Le","","'Veon Bell","","","RB5","","","11.2"
"12","Lamar Miller","","","RB6","","","12.0"
"13","Devonta Freeman","","","RB7","","","13.2"
"14","Dez Bryant","","","WR6","","","15.0"
"15","Allen Robinson","II","","WR7","","","15.0"
"16","Jordy Nelson","","","WR8","","","16.7"
"17","Cam Newton","","","QB1","","","18.8"
"18","Brandon Marshall","","","WR9","","","20.5"
"19","Mike Evans","SF","8","WR10","","","21.2"
"20","Eddie Lacy","","","RB8","","","21.7"
"21","Mark Ingram","II","","RB9","","","22.2"
"22","Jamaal Charles","","","RB10","","","22.5"
"23","LeSean McCoy","","","RB11","","","23.2"
"24","Doug Martin","","","RB12","","","23.5"
"25","Aaron Rodgers","","","QB2","","","24.5"
"26","Keenan Allen","LAC","","WR11","","","25.2"
"27","Amari Cooper","","","WR12","","","25.2"
"28","Alshon Jeffery","","","WR13","","","25.8"
"29","Brandin Cooks","","","WR14","","","29.8"
"30","Sammy Watkins","","","WR15","","","30.3"
"31","C.J. Anderson","","","RB13","","","31.3"
"32","Demaryius Thomas","","","WR16","","","33.2"
"33","T.Y. Hilton","","","WR17","","","33.8"
"34","Russell Wilson","","","QB3","","","35.5"
"35","Carlos Hyde","","","RB14","","","38.0"
"36","Thomas Rawls","","","RB15","","","38.8"
"37","Jordan Reed","","","TE2","","","39.5"
"38","Matt Forte","","","RB16","","","40.0"
"39","Latavius Murray","","","RB17","","","41.5"
"40","Jarvis Landry","","","WR18","","","43.2"
"41","Randall Cobb","","","WR19","","","43.7"
"42","Greg Olsen","","","TE3","","","43.8"
"43","Andrew Luck","","","QB4","","","44.2"
"44","DeMarco Murray","","","RB18","","","44.7"
"45","Julian Edelman","","","WR20","","","44.7"
"46","Doug Baldwin","","","WR21","","","45.2"
"47","Drew Brees","","","QB5","","","47.3"
"48","Jonathan Stewart","","","RB19","","","49.7"
"49","Eric Decker","","","WR22","","","50.0"
"50","Kelvin Benjamin","","","WR23","","","50.3"
"51","Jeremy Hill","","","RB20","","","50.7"
"52","Jeremy Maclin","","","WR24","","","51.5"
"53","Ben Roethlisberger","","","QB6","","","53.3"
"54","Golden Tate","","","WR25","","","55.2"
"55","Donte Moncrief","","","WR26","","","58.3"
"56","Travis Kelce","KC","5","TE4","","","58.5"
"57","Ryan Mathews","","","RB21","","","59.8"
"58","Michael Floyd","","","WR27","","","60.8"
"59","Delanie Walker","","","TE5","","","61.5"
"60","Melvin Gordon","III","","RB22","","","61.7"
"61","Jeremy Langford","","","RB23","","","62.2"
"62","Carson Palmer","","","QB7","","","62.3"
"63","Tom Brady","","","QB8","","","62.5"
"64","Larry Fitzgerald","","","WR28","","","63.0"
"65","Emmanuel Sanders","","","WR29","","","68.7"
"66","Matt Jones","","","RB24","","","72.8"
"67","Arian Foster","","","RB25","","","73.5"
"68","Frank Gore","","","RB26","","","75.0"
"69","Eli Manning","","","QB9","","","75.8"
"70","Coby Fleener","","","TE6","","","76.8"
"71","John Brown","","","WR30","","","78.2"
"72","Jordan Matthews","","","TE7","","","79.0"
"73","Giovani Bernard","","","RB27","","","79.2"
"74","Allen Hurns","","","WR31","","","80.0"
"75","DeSean Jackson","","","WR32","","","82.0"
"76","Gary Barnidge","","","TE8","","","82.3"
"77","Blake Bortles","","","QB10","","","82.7"
"78","Ameer Abdullah","","","RB28","","","83.2"
"79","Danny Woodhead","","","RB29","","","83.7"
"80","Denver Broncos","DST","11","DST1","","","84.5"
"81","Michael Crabtree","","","WR33","","","86.7"
"82","Duke Johnson Jr.","","","RB30","","","87.2"
"83","Philip Rivers","","","QB11","","","87.3"
"84","Chris Ivory","","","RB31","","","87.3"
"85","Tyler Lockett","LV","","WR34","","","88.2"
"86","Rashad Jennings","","","RB32","","","89.3"
"87","DeAngelo Williams","","","RB33","","","90.2"
"88","Seattle Seahawks","DST","5","DST2","","","90.3"
"89","Marvin Jones Jr.","","","WR35","","","92.0"
"90","Tyler Eifert ","","","TE9","","","95.8"
"91","Josh Gordon ","","","WR36","","","95.8"
"92","Antonio Gates","","","TE10","","","96.2"
"93","Zach Ertz","","","TE11","","","97.3"
"94","Stephen Gostkowski","","","K1","","","97.8"
"95","Derrick Henry","BAL","8","RB34","","","98.5"
"96","Arizona Cardinals","DST","9","DST3","","","99.0"
"97","Derek Carr","","","QB12","","","99.0"
"98","Sterling Shepard","","","WR37","","","100.3"
"99","Carolina Panthers","DST","7","DST4","","","101.8"
"100","Julius Thomas","","","TE12","","","102.5"
"101","DeVante Parker","","","WR38","","","104.3"
"102","LeGarrette Blount","","","RB35","","","104.3"
"103","T.J. Yeldon","","","RB36","","","105.3"
"104","Jay Ajayi","","","RB37","","","105.5"
"105","Stefon Diggs","","","WR39","","","108.0"
"106","Kevin White","","","WR40","","","108.5"
"107","Jimmy Graham","","","TE13","","","112.0"
"108","Kirk Cousins","LV","","QB13","","","112.5"
"109","Willie Snead","IV","","WR41","","","114.0"
"110","Houston Texans","DST","9","DST5","","","114.5"
"111","Jameis Winston","NYG","8","QB14","","","114.7"
"112","Tavon Austin","","","WR42","","","114.7"
"113","Isaiah Crowell","","","RB38","","","118.0"
"114","Tyrod Taylor","","","QB15","","","118.7"
"115","Stephen Hauschka","","","K2","","","119.8"
"116","Kansas City Chiefs","DST","5","DST6","","","119.8"
"117","Corey Coleman","","","WR43","","","124.5"
"118","Charles Sims","","","RB39","","","125.0"
"119","Torrey Smith","","","WR44","","","125.3"
"120","Martellus Bennett","","","TE14","","","125.5"
"121","Andy Dalton","PHI","4","QB16","","","125.7"
"122","Matthew Stafford","LAR","8","QB17","","","126.0"
"123","Justin Forsett","","","RB40","","","127.8"
"124","Marcus Mariota","WAS","9","QB18","","","130.0"
"125","Dion Lewis","","","RB41","","","130.5"
"126","Matt Ryan","","","QB19","","","132.2"
"127","Spencer Ware","","","RB42","","","133.8"
"128","Jason Witten","","","TE15","","","134.2"
"129","Bilal Powell","","","RB43","","","134.7"
"130","Theo Riddick","","","RB44","","","134.8"
"131","Vincent Jackson","","","WR45","","","135.8"
"132","Travis Benjamin","","","WR46","","","136.2"
"133","Markus Wheaton","","","WR47","","","137.0"
"134","Justin Tucker","","","K3","","","137.0"
"135","Graham Gano","","","K4","","","139.0"
"136","Minnesota Vikings","DST","6","DST7","","","142.8"
"137","New England Patriots","DST","9","DST8","","","144.5"
"138","Tevin Coleman","","","RB45","","","145.3"
"139","Dak Prescott","DAL","7","QB20","","","146.5"
"140","Christine Michael","","","RB46","","","147.2"
"141","Los Angeles Rams","DST","8","DST9","","","148.0"
"142","Kamar Aiken","","","WR48","","","150.7"
"143","Devin Funchess","","","WR49","","","152.0"
"144","Terrance West","","","RB47","","","152.7"
"145","Mason Crosby","","","K5","","","153.2"
"146","Michael Thomas","","","WR50","","","155.0"
"147","Dwayne Allen","","","TE16","","","157.8"
"148","Dan Bailey","","","K6","","","158.3"
"149","Chris Boswell","PIT","8","K7","","","158.5"
"150","Tony Romo","","","QB21","","","130.6"
"151","James White","","","RB48","","","160.3"
"152","Ted Ginn Jr.","","","WR51","","","160.3"
"153","Darren Sproles","","","RB49","","","162.0"
"154","Alfred Morris","","","RB50","","","162.3"
"155","William Fuller","V","","WR52","","","163.2"
"156","Jared Cook","","","TE17","","","163.7"
"157","Steve Smith","","","WR53","","","165.0"
"158","Chandler Catanzaro","","","K8","","","166.3"
"159","Devontae Booker","","","RB51","","","167.2"
"160","James Starks","","","RB52","","","167.3"
"161","Brock Osweiler","","","QB22","","","167.7"
"162","Zach Miller","","","TE18","","","167.7"
"163","Victor Cruz","","","WR54","","","168.3"
"164","Tajae Sharpe","","","WR55","","","169.8"
"165","Ryan Tannehill","","","QB23","","","172.7"
"166","Mike Wallace","","","WR56","","","173.0"
"167","Mohamed Sanu Sr.","","","WR57","","","173.8"
"168","Adam Vinatieri","","","K9","","","174.2"
"169","Brandon McManus","GB","4","K10","","","175.8"
"170","Pittsburgh Steelers","DST","8","DST10","","","152.6"
"171","Blair Walsh","","","K11","","","180.0"
"172","Sebastian Janikowski","","","K12","","","180.2"
"173","Robert Griffin","III","","QB24","","","180.2"
"174","Ladarius Green","","","TE19","","","156.0"
"175","Jerick McKinnon","","","RB53","","","183.2"
"176","Cairo Santos","CHI","9","K13","","","184.3"
"177","Ryan Fitzpatrick","","","QB25","","","161.0"
"178","Alex Smith","","","QB26","","","185.3"
"179","Tyler Boyd","","","WR58","","","186.0"
"180","DeAndre Washington","","","RB54","","","186.2"
"181","Pierre Garcon","","","WR59","","","187.2"
"182","Eric Ebron","","","TE20","","","164.8"
"183","Terrelle Pryor Sr.","","","WR60","","","188.2"
"184","Kyle Rudolph","","","TE21","","","189.2"
"185","Las Vegas Raiders","DST","","DST11","","","189.7"
"186","Cincinnati Bengals","DST","9","DST12","","","167.4"
"187","C.J. Prosise","","","RB55","","","169.4"
"188","Kenneth Dixon","","","RB56","","","194.0"
"189","Chris Johnson","","","RB57","","","172.6"
"190","Green Bay Packers","DST","4","DST13","","","179.2"
"191","Davante Adams","LAR","8","WR61","","","181.2"
"192","New York Jets","DST","11","DST14","","","181.4"
"193","Marshawn Lynch","","","RB58","","","151.8"
"194","Darren McFadden","","","RB59","","","183.2"
"195","Jordan Howard","","","RB60","","","183.6"
"196","Laquon Treadwell","IND","10","WR62","","","185.8"
"197","Jay Cutler","","","QB27","","","187.8"
"198","Chris Hogan","","","WR63","","","208.2"
"199","Dorial Green-Beckham","","","WR64","","","191.4"
"200","Paul Perkins","","","RB61","","","192.2"
"201","Josh Doctson","","","WR65","","","192.8"
"202","New York Giants","DST","8","DST15","","","193.0"
"203","Philadelphia Eagles","DST","4","DST16","","","193.2"
"204","Joe Flacco","CIN","9","QB28","","","194.0"
"205","Austin Seferian-Jenkins","","","TE22","","","194.2"
"206","Karlos Williams","","","RB62","","","168.3"
"207","Phillip Dorsett II","LV","","WR66","","","195.2"
"208","Rishard Matthews","","","WR67","","","195.8"
"209","Richard Rodgers","","","TE23","","","196.8"
"210","Baltimore Ravens","DST","8","DST17","","","198.2"
"211","Charcandrick West","","","RB63","","","205.4"
"212","Kenny Stills","","","WR68","","","221.5"
"213","Anquan Boldin","","","WR69","","","206.2"
"214","Clive Walford","","","TE24","","","208.8"
"215","Virgil Green","","","TE25","","","208.8"
"216","Javorius Allen","","","RB64","","","186.8"
"217","Danny Amendola","","","WR70","","","187.3"
"218","Shane Vereen","","","RB65","","","211.6"
"219","Matt Bryant","","","K14","","","212.0"
"220","Charles Clay","","","TE26","","","212.6"
"221","Buffalo Bills","DST","10","DST18","","","213.6"
"222","Terrance Williams","","","WR71","","","217.2"
"223","Jacksonville Jaguars","DST","5","DST19","","","197.5"
"224","Tim Hightower","","","RB66","","","218.4"
"225","Sam Bradford","","","QB29","","","220.0"
"226","Matt Prater","","","K15","","","220.8"
"227","Sammie Coates","","","WR72","","","221.0"
"228","Teddy Bridgewater","DET","10","QB30","","","202.5"
"229","Robert Kelley","","","RB67","","","109.0"
"230","Josh Brown","","","K16","","","206.3"
"231","Jared Goff","DET","10","QB31","","","226.2"
"232","Martavis Bryant","","","WR73","","","210.5"
"233","Benjamin Watson","","","TE27","","","209.3"
"234","Dustin Hopkins","","","K17","","","232.2"
"235","Mike Nugent","","","K18","","","216.0"
"236","Roberto Aguayo","","","K19","","","234.8"
"237","Dallas Cowboys","DST","7","DST20","","","190.7"
"238","Jermaine Kearse","","","WR74","","","219.5"
"239","Jordan Cameron","","","TE28","","","219.8"
"240","Hunter Henry","NE","9","TE29","","","220.5"
"241","Tampa Bay Buccaneers","DST","6","DST21","","","239.0"
"242","Nick Novak","","","K20","","","240.4"
"243","Washington Commanders","DST","9","DST22","","","200.0"
"244","Breshad Perriman","","","WR75","","","226.0"
"245","Kenny Britt","","","WR76","","","226.8"
"246","Robbie Gould","","","K21","","","226.8"
"247","Connor Barth","","","K22","","","153.0"
"248","Mike Gillislee","","","RB68","","","202.7"
"249","Ronnie Hillman","","","RB69","","","205.7"
"250","Leonard Fournette","","","RB70","","","20.0"
"251","Nelson Agholor","","","WR77","","","210.0"
"252","James Jones","","","WR78","","","212.3"
"253","Chris Thompson","","","RB71","","","213.3"
"254","Miami Dolphins","DST","8","DST23","","","214.0"
"255","Christian McCaffrey","SF","8","RB72","","","39.0"
"256","Joe Mixon","","","RB73","","","40.0"
"257","Jamison Crowder","","","WR79","","","172.0"
"258","Ty Montgomery","II","","RB74","","","217.3"
"259","Andre Ellington","","","RB75","","","238.8"
"260","Cameron Artis-Payne","","","RB76","","","239.3"
"261","Indianapolis Colts","DST","10","DST24","","","219.0"
"262","C.J. Spiller","","","RB77","","","240.8"
"263","Nick Folk","ATL","11","K23","","","243.0"
"264","Carson Wentz","MIN","6","QB32","","","224.0"
"265","Jesse James","","","TE30","","","243.5"
"266","Cole Beasley","","","WR80","","","244.5"
"267","Dalvin Cook","","","RB78","","","77.0"
"268","Tyreek Hill","","","WR81","","","194.5"
"269","Corey Davis","","","WR82","","","86.0"
"270","Jacob Tamme","","","TE31","","","230.0"
"271","Detroit Lions","DST","10","DST25","","","230.3"
"272","Dan Carpenter","","","K24","","","248.3"
"273","Jimmy Garoppolo","LAR","8","QB33","","","231.0"
"274","Samaje Perine","CIN","9","RB79","","","92.0"
"275","Cameron Brate","","","TE32","","","233.3"
"276","Shayne Graham","","","K25","","","97.0"
"277","Robert Woods","","","WR83","","","234.0"
"278","Chicago Bears","DST","9","DST26","","","234.7"
"279","Braxton Miller","","","WR84","","","236.0"
"280","Jonathan Williams","","","RB80","","","204.0"
"281","Cameron Meredith","","","WR85","","","112.0"
"282","Brandon LaFell","","","WR86","","","255.8"
"283","J.J. Nelson","","","WR87","","","241.0"
"284","Eli Rogers","","","WR88","","","212.0"
"285","Josh Lambo","","","K26","","","257.8"
"286","Kareem Hunt","","","RB81","","","127.0"
"287","Marqise","Lee","","WR89","","","215.5"
"288","Mike Williams","","","WR90","","","135.0"
"289","Wendell Smallwood","","","RB82","","","218.5"
"290","Adam Thielen","","","WR91","","","136.0"
"291","Colin Kaepernick","","","QB34","","","246.7"
"292","Kendall Wright","","","WR92","","","260.5"
"293","Tyrell Williams","","","WR93","","","139.0"
"294","Malcolm Mitchell","","","WR94","","","223.0"
"295","Jamaal Williams","","","RB83","","","146.0"
"296","Kenyan Drake","","","RB84","","","225.0"
"297","Jack Doyle","","","TE33","","","266.5"
"298","Rex Burkhead","","","RB85","","","155.0"
"299","Vance McDonald","","","TE34","","","265.8"
"300","Joe Williams","","","RB86","","","158.0"
"301","Atlanta Falcons","DST","11","DST27","","","255.0"
"302","Paxton Lynch","","","QB35","","","257.0"
"303","Jace Amaro","","","TE35","","","168.0"
"304","Zay Jones","","","WR95","","","168.0"
