"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG"
"1","Christian McCaffrey","SF","6 ","RB1","1","","1.0"
"2","Dalvin Cook","","","RB2","2","","2.0"
"3","Derrick Henry","BAL","8","RB3","3","","3.0"
"4","Alvin Kamara","NO","6","RB4","4","","4.0"
"5","Ezekiel Elliott","","","RB5","5","","5.0"
"6","Nick Chubb","","","RB6","6","","6.0"
"7","Aaron Jones Sr.","MIN","7","RB7","10","","8.3"
"8","Davante Adams","LAR","11","WR1","9","","8.3"
"9","Jonathan Taylor","IND","14","RB8","8","","8.5"
"10","Saquon Barkley","PHI","14","RB9","7","","10.0"
"11","Tyreek Hill","","","WR2","11","","11.0"
"12","Travis Kelce","KC","12","TE1","12","","11.3"
"13","Patrick Mahomes II","KC","12","QB1","15","","14.3"
"14","Najee Harris","LAC","7","RB10","13","","14.3"
"15","Austin Ekeler","","","RB11","14","","14.5"
"16","Stefon Diggs","","","WR3","16","","16.3"
"17","Antonio Gibson","","","RB12","21","","16.8"
"18","DK Metcalf","PIT","7","WR4","20","","18.5"
"19","Joe Mixon","","","RB13","19","","19.3"
"20","DeAndre Hopkins","BAL","8","WR5","17","","19.8"
"21","Calvin Ridley","TEN","13","WR6","18","","19.8"
"22","Clyde Edwards-Helaire","","","RB14","22","","21.8"
"23","A.J. Brown","PHI","14","WR7","24","","25.8"
"24","Darren Waller","","","TE2","28","","26.0"
"25","Justin Jefferson","MIN","7","WR8","31","","26.5"
"26","Josh Allen","BUF","7","QB2","32","","26.8"
"27","David Montgomery","HOU","10","RB15","26","","27.8"
"28","Josh Jacobs","GB","13","RB16","27","","27.8"
"29","Chris Carson ","","","RB17","29","","28.0"
"30","George Kittle","SF","6","TE3","23","","28.3"
"31","Keenan Allen","LAC","7","WR9","25","","28.8"
"32","James Robinson ","","","RB18","33","","32.8"
"33","Terry McLaurin","WAS","9","WR10","30","","33.5"
"34","Mike Evans","SF","6","WR11","34","","33.8"
"35","Miles Sanders","","","RB19","37","","35.5"
"36","CeeDee Lamb","DAL","7","WR12","39","","36.5"
"37","Kyler Murray","MIN","7","QB3","38","","36.8"
"38","Allen Robinson","II","","WR13","35","","38.0"
"39","D'Andre Swift","CHI","10","RB20","36","","38.8"
"40","Lamar Jackson","BAL","8","QB4","42","","40.3"
"41","Chris Godwin Jr.","TB","9 ","WR14","41","","42.3"
"42","Robert Woods ","","","WR15","45","","42.3"
"43","Julio Jones","","","WR16","40","","43.8"
"44","Amari Cooper","","","WR17","43","","45.3"
"45","Myles Gaskin","","","RB21","51","","46.3"
"46","Aaron Rodgers","","","QB5","53","","47.5"
"47","Adam Thielen","","","WR18","47","","47.5"
"48","Kyle Pitts Sr.","ATL","6","TE4","44","","50.8"
"49","Kareem Hunt","","","RB22","46","","50.8"
"50","Russell Wilson","","","QB6","50","","51.8"
"51","Cooper Kupp","SEA","9","WR19","49","","52.8"
"52","Mike Davis","","","RB23","62","","53.3"
"53","Dak Prescott","DAL","7","QB7","55","","53.8"
"54","Mark Andrews","BAL","8","TE5","52","","54.5"
"55","Tyler Lockett","LV","8","WR20","54","","55.0"
"56","Raheem Mostert","LV","8 ","RB24","60","","55.0"
"57","DJ Moore","BUF","7","WR21","48","","55.5"
"58","Darrell Henderson Jr.","","","RB25","61","","57.0"
"59","Justin Herbert","LAC","7","QB8","58","","57.5"
"60","Diontae Johnson","","","WR22","57","","59.3"
"61","Javonte Williams","DAL","7","RB26","69","","61.3"
"62","Chase Edmonds","WAS","9","RB27","59","","62.0"
"63","Damien Harris","","","RB28","71","","62.5"
"64","Gus Edwards ","","","RB29","72","","64.0"
"65","T.J. Hockenson","MIN","7 ","TE6","56","","64.5"
"66","Brandon Aiyuk","SF","6","WR23","63","","64.8"
"67","Chase Claypool","","","WR24","70","","68.0"
"68","Tom Brady","","","QB9","73","","68.8"
"69","Odell Beckham Jr.","","","WR25","65","","68.8"
"70","Melvin Gordon","III","","RB30","67","","70.5"
"71","Ja'Marr Chase","CIN","10","WR26","75","","71.0"
"72","Tee Higgins","CIN","10","WR27","68","","71.0"
"73","Michael Thomas ","","","WR28","64","","72.3"
"74","Kenny Golladay","","","WR29","66","","76.0"
"75","Jerry Jeudy","CLE","13","WR30","76","","76.5"
"76","Ronald Jones","II","","RB31","74","","76.8"
"77","JuJu Smith-Schuster","","","WR31","77","","77.8"
"78","Trey Sermon","","","RB32","78","","78.8"
"79","Leonard Fournette","","","RB33","81","","79.8"
"80","Courtland Sutton","DEN","11","WR32","80","","81.3"
"81","Matthew Stafford","LAR","11","QB10","87","","82.0"
"82","Logan Thomas ","","","TE7","97","","84.0"
"83","DeVonta Smith","PHI","14","WR33","89","","84.0"
"84","Robbie Chosen","","","WR34","85","","85.0"
"85","Ryan Tannehill","","","QB11","91","","86.5"
"86","Robert Tonyan ","","","TE8","86","","88.0"
"87","Deebo Samuel Sr.","","","WR35","84","","88.5"
"88","Antonio Brown ","","","WR36","96","","90.3"
"89","AJ Dillon","CAR","13","RB34","93","","91.3"
"90","Zack Moss","","","RB35","88","","91.3"
"91","Tyler Boyd","","","WR37","95","","91.8"
"92","James Conner","ARI","12","RB36","99","","92.5"
"93","Noah Fant","NO","6","TE9","83","","94.8"
"94","DJ Chark Jr. ","","","WR38","82","","96.3"
"95","Michael Carter","TEN","13","RB37","100","","96.5"
"96","Jalen Hurts","PHI","14","QB12","103","","97.0"
"97","Brandin Cooks","","","WR39","101","","98.8"
"98","Jarvis Landry","","","WR40","98","","98.8"
"99","Devin Singletary","NYG","10","RB38","113","","98.8"
"100","Dallas Goedert","PHI","14","TE10","79","","99.8"
"101","Rob Gronkowski","","","TE11","92","","100.5"
"102","Corey Davis ","","","WR41","107","","101.3"
"103","Los Angeles Rams","DST","11","DST1","102","","102.5"
"104","Laviska Shenault Jr.","","","WR42","105","","102.8"
"105","Sony Michel","","","RB39","109","","106.3"
"106","Pittsburgh Steelers","DST","7","DST2","118","","107.0"
"107","Joe Burrow","CIN","10","QB13","120","","107.8"
"108","Tampa Bay Buccaneers","DST","9","DST3","90","","108.0"
"109","Kenyan Drake ","","","RB40","110","","110.8"
"110","Michael Pittman Jr.","PIT","7","WR43","121","","111.8"
"111","Jamaal Williams","","","RB41","123","","113.8"
"112","David Johnson","","","RB42","104","","115.0"
"113","Mike Gesicki","CIN","10","TE12","106","","115.8"
"114","Tyler Higbee","LAR","11 ","TE13","115","","116.8"
"115","Justin Tucker","","","K1","94","","117.0"
"116","Jaylen Waddle","DEN","11","WR44","111","","117.0"
"117","Mike Williams","","","WR45","116","","118.0"
"118","Washington Commanders","DST","9","DST4","114","","119.0"
"119","Marquez Callaway","","","WR46","136","","119.3"
"120","William Fuller","V","","WR47","112","","120.0"
"121","Harrison Butker","KC","12","K2","108","","121.0"
"122","Baltimore Ravens","DST","8","DST5","117","","123.0"
"123","Mecole Hardman Jr.","BUF","7","WR48","128","","124.0"
"124","Hollywood Brown","PHI","14","WR49","131","","126.5"
"125","Michael Gallup ","","","WR50","126","","127.0"
"126","Tony Pollard","TEN","13","RB43","140","","128.8"
"127","Henry Ruggs III ","","","WR51","144","","129.0"
"128","Trevor Lawrence","JAC","7","QB14","122","","129.8"
"129","Matt Ryan","","","QB15","151","","130.3"
"130","Baker Mayfield","TB","9 ","QB16","139","","131.5"
"131","Buffalo Bills","DST","7","DST6","124","","133.5"
"132","Curtis Samuel","","","WR52","127","","136.5"
"133","Younghoe","Koo","","K3","119","","136.8"
"134","San Francisco 49ers","DST","6","DST7","129","","137.3"
"135","Darnell Mooney","NYG","10","WR53","142","","138.0"
"136","Nyheim Miller-Hines","","","RB44","132","","138.0"
"137","Jonnu Smith","","","TE14","138","","138.3"
"138","Justin Fields","KC","12","QB17","143","","140.3"
"139","Marvin Jones Jr.","","","WR54","153","","140.5"
"140","Alexander Mattison","","","RB45","161","","144.0"
"141","Cole Beasley","","","WR55","166","","144.5"
"142","Trey Lance","LAC","7","QB18","147","","145.0"
"143","J.D. McKissic","","","RB46","170","","146.5"
"144","Rhamondre Stevenson","NE","14","RB47","137","","148.0"
"145","Tyler Bass","BUF","7","K4","130","","148.8"
"146","Tevin Coleman","","","RB48","160","","150.8"
"147","DeVante Parker","","","WR56","163","","152.0"
"148","Jakobi Meyers","JAC","7","WR57","156","","152.3"
"149","Indianapolis Colts","DST","14","DST8","162","","153.0"
"150","Kirk Cousins","LV","8","QB19","165","","154.3"
"151","Jared Cook","","","TE15","158","","154.5"
"152","Jameis Winston","NYG","10 ","QB20","157","","155.8"
"153","Ben Roethlisberger","","","QB21","182","","156.0"
"154","New England Patriots","DST","14","DST9","152","","156.5"
"155","Phillip Lindsay","","","RB49","125","","159.5"
"156","Latavius Murray","","","RB50","154","","160.3"
"157","Rodrigo Blankenship","","","K5","135","","164.3"
"158","Jason Sanders","NYG","10","K6","133","","167.3"
"159","Nelson Agholor","","","WR58","167","","168.3"
"160","Russell Gage Jr.","","","WR59","185","","171.0"
"161","Mac Jones","SF","6","QB22","171","","171.8"
"162","Denver Broncos","DST","11","DST10","134","","172.5"
"163","Tua Tagovailoa","ATL","6","QB23","190","","172.8"
"164","Ryan Succop","","","K7","146","","173.5"
"165","Chuba Hubbard","CAR","13","RB51","141","","140.0"
"166","Greg Zuerlein","","","K8","149","","176.5"
"167","Elijah Moore","PHI","14","WR60","145","","146.3"
"168","Ryan Fitzpatrick ","","","QB24","193","","180.5"
"169","Mark Ingram","II","","RB52","202","","183.8"
"170","James White ","","","RB53","211","","183.8"
"171","Cleveland Browns","DST","13","DST11","148","","185.0"
"172","Hunter Henry","NE","14","TE16","150","","154.0"
