"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG"
"128","Dan Bailey","","","K5","","","139.2"
"129","DeAngelo Williams","","","RB43","","","139.5"
"130","Terrance Williams","","","WR45","","","140.0"
"131","Colin Kaepernick","","","QB17","","","140.8"
"132","Baltimore Ravens","DST","9","DST8","","","141.2"
"133","Justin Tucker","","","K6","","","141.2"
"134","Reggie Bush","","","RB44","","","141.3"
"135","New England Patriots","DST","4","DST9","","","142.0"
"136","Duke Johnson Jr.","","","RB45","","","142.8"
"137","Tyler Eifert","","","TE15","","","143.7"
"138","Joe Flacco","CIN","7","QB18","","","124.0"
"139","Brandon LaFell","","","WR46","","","125.6"
"140","Miami Dolphins","DST","5","DST10","","","125.6"
"141","DeVante Parker","","","WR47","","","147.3"
"142","Carson Palmer","","","QB19","","","147.3"
"143","Charles Sims","","","RB46","","","148.0"
"144","Denver Broncos","DST","7","DST11","","","148.2"
"145","Jordy Nelson","","","WR48","","","96.5"
"146","Eddie Royal","","","WR49","","","129.2"
"147","Kyle Rudolph","","","TE16","","","150.8"
"148","Danny Woodhead","","","RB47","","","152.0"
"149","Coby Fleener","","","TE17","","","135.4"
"150","Vernon Davis","","","TE18","","","156.5"
"151","Jay Cutler","","","QB20","","","137.8"
"152","New York Jets","DST","5","DST12","","","138.2"
"153","Percy Harvin","","","WR50","","","158.5"
"154","Andre Williams","","","RB48","","","160.5"
"155","David Johnson","","","RB49","","","161.2"
"156","Michael Crabtree","","","WR51","","","161.2"
"157","Breshad Perriman","","","WR52","","","161.3"
"158","Marcus Mariota","WAS","8","QB21","","","163.0"
"159","Cody Parkey","","","K7","","","148.6"
"160","Knile Davis","","","RB50","","","149.4"
"161","Ronnie Hillman","","","RB51","","","150.4"
"162","Kansas City Chiefs","DST","9","DST13","","","168.2"
"163","Cody Latimer","","","WR53","","","172.3"
"164","Alex Smith","","","QB22","","","156.8"
"165","Matt Bryant","","","K8","","","173.5"
"166","Heath Miller","","","TE19","","","158.6"
"167","Jameis Winston","NYG","11","QB23","","","161.0"
"168","Doug Baldwin","","","WR54","","","161.2"
"169","Carolina Panthers","DST","5","DST14","","","161.4"
"170","David Cobb","","","RB52","","","163.0"
"171","Steve Johnson","","","WR55","","","163.8"
"172","Dan Carpenter","","","K9","","","143.0"
"173","Derek Carr","","","QB24","","","166.2"
"174","Matt Prater","","","K10","","","180.7"
"175","Dorial Green-Beckham","","","WR56","","","180.8"
"176","Sebastian Janikowski","","","K11","","","184.0"
"177","Tyler Lockett","LV","","WR57","","","172.8"
"178","Richard Rodgers","","","TE20","","","176.0"
"179","Brian Quick","","","WR58","","","157.8"
"180","Kelvin Benjamin","","","WR59","","","161.7"
"181","Markus Wheaton","","","WR60","","","167.5"
"182","Dallas Cowboys","DST","6","DST15","","","165.5"
"183","Jonas Gray","","","RB53","","","137.0"
"184","Nick Foles","","","QB25","","","166.0"
"185","Matt Jones","","","RB54","","","167.0"
"186","Charles Clay","","","TE21","","","168.8"
"187","Kenny Stills","","","WR61","","","169.0"
"188","Montee Ball","","","RB55","","","172.3"
"189","Minnesota Vikings","DST","5","DST16","","","199.3"
"190","Andy Dalton","PHI","8","QB26","","","175.3"
"191","Kevin White","","","WR62","","","152.0"
"192","Brandon Coleman","","","WR63","","","177.3"
"193","Josh Hill","","","TE22","","","153.0"
"194","Fred Jackson","","","RB56","","","196.0"
"195","Marvin Jones Jr.","","","WR64","","","179.8"
"196","Rueben Randle","","","WR65","","","183.0"
"197","Terrance West","","","RB57","","","183.3"
"198","Cincinnati Bengals","DST","7","DST17","","","183.3"
"199","Donte Moncrief","","","WR66","","","185.0"
"200","Pittsburgh Steelers","DST","11","DST18","","","187.5"
"201","Denard Robinson","","","RB58","","","188.5"
"202","Malcom Floyd","","","WR67","","","169.0"
"203","Connor Barth","","","K12","","","186.7"
"204","Larry Donnell","","","TE23","","","171.3"
"205","James Jones","","","WR68","","","171.3"
"206","Detroit Lions","DST","9","DST19","","","193.3"
"207","Blair Walsh","","","K13","","","205.6"
"208","Ty Montgomery","II","","RB59","","","176.0"
"209","Phillip Dorsett II","LV","","WR69","","","195.0"
"210","San Francisco 49ers","DST","10","DST20","","","178.0"
"211","New York Giants","DST","11","DST21","","","181.0"
"212","Brandon McManus","GB","7","K14","","","199.8"
"213","Randy Bullock","","","K15","","","148.0"
"214","Christine Michael","","","RB60","","","184.3"
"215","Eric Ebron","","","TE24","","","190.0"
"216","Austin Seferian-Jenkins","","","TE25","","","191.3"
"217","Jared Cook","","","TE26","","","213.7"
"218","Tyrod Taylor","","","QB27","","","192.3"
"219","Reggie Wayne","","","WR70","","","193.3"
"220","Indianapolis Colts","DST","10","DST22","","","194.0"
"221","Chicago Bears","DST","7","DST23","","","165.5"
"222","Roy Helu","","","RB61","","","195.7"
"223","Blake Bortles","","","QB28","","","213.7"
"224","Jordan Reed","","","TE27","","","202.0"
"225","James Starks","","","RB62","","","203.0"
"226","Mohamed Sanu Sr.","","","WR71","","","180.5"
"227","Khiry Robinson","","","RB63","","","208.3"
"228","Kirk Cousins","LV","","QB29","","","181.5"
"229","Jerick McKinnon","","","RB64","","","205.7"
"230","Cameron Artis-Payne","","","RB65","","","183.0"
"231","Phil Dawson","","","K16","","","218.8"
"232","Ahmad Bradshaw","","","RB66","","","251.5"
"233","Wes Welker","","","WR72","","","246.0"
"234","Dwayne Bowe","","","WR73","","","217.0"
"235","Robbie Gould","","","K17","","","191.5"
"236","Cordarrelle Patterson","","","RB67","","","194.5"
"237","Jeff Janis","","","WR74","","","242.3"
"238","Cecil Shorts","","","WR75","","","195.0"
"239","Stevan Ridley","","","RB68","","","210.5"
"240","Nick Folk","ATL","10","K18","","","220.3"
"241","Jaelen Strong","","","WR76","","","213.0"
"242","Josh Scobee","","","K19","","","201.0"
"243","Ladarius Green","","","TE28","","","218.3"
"244","Robert Griffin","III","","QB30","","","206.0"
"245","Allen Hurns","","","WR77","","","233.7"
"246","Bobby Rainey","","","RB69","","","253.5"
"247","Josh Brown","","","K20","","","246.7"
"248","Virgil Green","","","TE29","","","247.0"
"249","Caleb Sturgis","","","K21","","","244.3"
"250","Brandon Bolden","","","RB70","","","191.0"
"251","Nick Novak","","","K22","","","234.7"
"252","Jay Ajayi","","","RB71","","","193.0"
"253","Branden Oliver","","","RB72","","","224.5"
"254","Lorenzo Taliaferro","","","RB73","","","236.5"
"255","Chandler Catanzaro","","","K23","","","229.0"
"256","New Orleans Saints","DST","11","DST24","","","200.0"
"257","Kenny Britt","","","WR78","","","226.5"
"258","Greg Zuerlein","","","K24","","","228.0"
"259","Theo Riddick","","","RB74","","","229.5"
"260","Stedman Bailey","","","WR79","","","209.0"
"261","Tavon Austin","","","WR80","","","239.0"
"262","Dan Herron","","","RB75","","","245.5"
"263","Leonard Hankerson","","","WR81","","","233.0"
"264","Cole Beasley","","","WR82","","","220.0"
"265","Danny Amendola","","","WR83","","","257.5"
"266","Andrew Hawkins","","","WR84","","","247.0"
"267","Greg Jennings","","","WR85","","","261.5"
"268","Sammie Coates","","","WR86","","","224.0"
"269","Los Angeles Chargers","DST","","DST25","","","252.0"
"270","Ryan Mallett","","","QB31","","","228.0"
"271","Atlanta Falcons","DST","10","DST26","","","294.5"
"272","Ryan Fitzpatrick","","","QB32","","","231.0"
"273","Garrett Hartley","","","K25","","","273.5"
"274","Aaron Dobson","","","WR87","","","237.0"
"275","Washington Commanders","DST","8","DST27","","","249.0"
"276","Ray Rice","","","RB76","","","239.0"
"277","Chris Polk","","","RB77","","","240.0"
"278","Chris Johnson","","","RB78","","","248.5"
"279","Mychal Rivera","","","TE30","","","288.0"
"280","Trent Richardson","","","RB79","","","246.0"
"281","Taylor Gabriel","","","WR88","","","247.0"
"282","Lance Dunbar","","","RB80","","","250.5"
"283","Tampa Bay Buccaneers","DST","6","DST28","","","248.0"
"284","Dustin Hopkins","","","K26","","","250.0"
"285","James White","","","RB81","","","249.0"
"286","Graham Gano","","","K27","","","250.5"
"287","Damien Williams","","","RB82","","","299.5"
"288","Jacksonville Jaguars","DST","8","DST29","","","251.0"
"289","Brian Hoyer","","","QB33","","","253.0"
"290","Jeremy Langford","","","RB83","","","255.0"
"291","Josh McCown","","","QB34","","","256.0"
"292","Cleveland Browns","DST","11","DST30","","","258.0"
"293","Riley Cooper","","","WR89","","","262.0"
"294","Justin Hardy","","","WR90","","","264.0"
"295","Javorius Allen","","","RB84","","","266.0"
"296","Mark Sanchez","","","QB35","","","270.0"
"297","Maxx Williams","","","TE31","","","271.0"
"298","Fozzy Whittaker","","","RB85","","","274.0"
"299","Johnny Manziel","","","QB36","","","276.0"
"300","Jacquizz Rodgers","","","RB86","","","278.0"
"301","Brandon Weeden","","","QB37","","","281.0"
"302","Zac Stacy","","","RB87","","","284.0"
"303","Jermaine Kearse","","","WR91","","","285.0"
"304","Marqise","Lee","","WR92","","","286.0"
"305","Brock Osweiler","","","QB38","","","287.0"
"306","Scott Chandler","","","TE32","","","288.0"
"307","Josh Robinson","","","RB88","","","290.0"
"308","Robert Turbin","","","RB89","","","291.0"
"309","Benjamin Watson","","","TE33","","","292.0"
"310","Dri Archer","","","RB90","","","294.0"
"311","Devin Smith","","","WR93","","","296.0"
"312","Mike Nugent","","","K28","","","297.0"
"313","Kamar Aiken","","","WR94","","","298.0"
"314","Andrew Quarless","","","TE34","","","299.0"
"315","Geno Smith","NYJ","5","QB39","","","303.0"
"316","Jamison Crowder","","","WR95","","","304.0"
"317","Jimmy Garoppolo","LAR","","QB40","","","305.0"
"318","De","","'Anthony Thomas","","","WR96","","","306.0"
"319","Nick Toon","","","WR97","","","307.0"
"320","Marlon Brown","","","WR98","","","309.0"
