"Rank","Player","Team","Bye","POS","ESPN","Sleeper","CBS","NFL","RTSports","Fantrax","AVG"
"1","Todd Gurley","II","","RB1","1","","","","1","1","1.0"
"2","Le","","'Veon Bell ","","","RB2","2","","","","3","2","2.4"
"3","David Johnson","","","RB3","3","","","","2","3","2.6"
"4","Ezekiel Elliott","","","RB4","4","","","","4","4","4.0"
"5","Antonio Brown","","","WR1","5","","","","6","5","5.2"
"6","Alvin Kamara","NO","6","RB5","7","","","","5","6","6.2"
"7","Saquon Barkley","PHI","9","RB6","6","","","","7","7","6.6"
"8","DeAndre Hopkins","BAL","10","WR2","9","","","","10","8","8.8"
"9","Leonard Fournette","","","RB7","12","","","","9","12","10.0"
"10","Kareem Hunt","","","RB8","11","","","","8","9","10.2"
"11","dell Beckham Jr.","O","","WR3","10","","","","12","11","11.0"
"12","Melvin Gordon","III","","RB9","14","","","","11","10","11.2"
"13","Julio Jones","","","WR4","8","","","","14","13","12.6"
"14","Dalvin Cook","","","RB10","13","","","","15","15","14.2"
"15","Christian McCaffrey","SF","11","RB11","16","","","","13","17","14.8"
"16","Michael Thomas","","","WR5","17","","","","16","14","15.8"
"17","Keenan Allen","LAC","8","WR6","15","","","","17","16","16.4"
"18","Davante Adams","LAR","12","WR7","21","","","","19","18","18.8"
"19","Devonta Freeman","","","RB12","20","","","","18","20","19.2"
"20","A.J. Green ","","","WR8","19","","","","21","19","20.2"
"21","Rob Gronkowski","","","TE1","18","","","","20","23","20.6"
"22","Mike Evans","SF","11","WR9","23","","","","24","21","23.4"
"23","Jordan Howard","","","RB13","26","","","","23","24","23.6"
"24","Joe Mixon","","","RB14","27","","","","22","25","23.8"
"25","Travis Kelce","KC","12","TE2","25","","","","26","26","26.6"
"26","LeSean McCoy","","","RB15","24","","","","28","22","26.8"
"27","Tyreek Hill","","","WR10","31","","","","25","28","26.8"
"28","Aaron Rodgers","","","QB1","22","","","","30","34","28.2"
"29","T.Y. Hilton","","","WR11","29","","","","27","30","28.2"
"30","Stefon Diggs","","","WR12","32","","","","32","31","29.8"
"31","Adam Thielen","","","WR13","34","","","","29","27","31.8"
"32","Larry Fitzgerald","","","WR14","30","","","","37","32","33.6"
"33","Kenyan Drake","","","RB16","35","","","","31","35","34.4"
"34","Amari Cooper","","","WR15","36","","","","35","37","34.6"
"35","Zach Ertz","","","TE3","33","","","","34","33","35.0"
"36","Doug Baldwin","","","WR16","39","","","","39","29","37.0"
"37","Alex Collins ","","","RB17","43","","","","33","41","37.4"
"38","Jarvis Landry","","","WR17","40","","","","36","45","38.4"
"39","Royce Freeman","","","RB18","37","","","","38","56","41.2"
"40","Derrick Henry","BAL","10","RB19","42","","","","41","36","42.2"
"41","Demaryius Thomas ","","","WR18","38","","","","45","38","43.2"
"42","Jay Ajayi ","","","RB20","44","","","","40","46","43.8"
"43","JuJu Smith-Schuster","","","WR19","51","","","","42","47","44.0"
"44","Brandin Cooks","","","WR20","47","","","","44","39","45.4"
"45","Golden Tate","","","WR21","45","","","","43","42","45.8"
"46","Lamar Miller","","","RB21","57","","","","46","49","46.8"
"47","Tom Brady","","","QB2","28","","","","57","59","47.8"
"48","Deshaun Watson","CLE","11","QB3","50","","","","47","54","47.8"
"49","Allen Robinson","II","","WR22","41","","","","51","44","48.0"
"50","Josh Gordon ","","","WR23","49","","","","52","43","48.6"
"51","Mark Ingram II ","","","RB22","60","","","","48","48","52.2"
"52","Russell Wilson","","","QB4","53","","","","56","53","54.4"
"53","Jimmy Graham","","","TE4","56","","","","50","61","54.4"
"54","Marvin Jones Jr. ","","","WR24","55","","","","53","51","54.8"
"55","Chris Hogan","","","WR25","54","","","","54","73","55.0"
"56","Greg lsen","O","","TE5","48","","","","58","62","56.4"
"57","Dion Lewis","","","RB23","58","","","","49","52","56.4"
