"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG"
"1","David Johnson","","","RB1","","","1.0"
"2","Le","","'Veon Bell","","","RB2","","","2.0"
"3","Antonio Brown","","","WR1","","","3.2"
"4","Julio Jones","","","WR2","","","3.8"
"5","LeSean McCoy","","","RB3","","","5.6"
"6","Odell Beckham Jr.","","","WR3","","","6.2"
"7","Devonta Freeman","","","RB4","","","7.2"
"8","Melvin Gordon","III","","RB5","","","8.4"
"9","Mike Evans","SF","11","WR4","","","8.8"
"10","A.J. Green","","","WR5","","","11.4"
"11","DeMarco Murray","","","RB6","","","12.0"
"12","Jordy Nelson","","","WR6","","","12.4"
"13","Jay Ajayi","","","RB7","","","12.8"
"14","Ezekiel Elliott","","","RB8","","","13.8"
"15","Jordan Howard","","","RB9","","","14.0"
"16","Aaron Rodgers","","","QB1","","","15.6"
"17","Michael Thomas","","","WR7","","","16.2"
"18","Todd Gurley","II","","RB10","","","19.2"
"19","Dez Bryant","","","WR8","","","19.6"
"20","Rob Gronkowski","","","TE1","","","19.6"
"21","Tom Brady","","","QB2","","","21.6"
"22","Brandin Cooks","","","WR9","","","23.6"
"23","Amari Cooper","","","WR10","","","24.2"
"24","Leonard Fournette","","","RB11","","","24.2"
"25","Doug Baldwin","","","WR11","","","25.4"
"26","Marshawn Lynch","","","RB12","","","27.2"
"27","Christian McCaffrey","SF","11","RB13","","","27.2"
"28","T.Y. Hilton","","","WR12","","","28.4"
"29","Lamar Miller","","","RB14","","","28.8"
"30","Isaiah Crowell","","","RB15","","","29.6"
"31","Drew Brees","","","QB3","","","33.0"
"32","DeAndre Hopkins","BAL","10","WR13","","","33.4"
"33","Dalvin Cook","","","RB16","","","35.0"
"34","Terrelle Pryor Sr.","","","WR14","","","36.0"
"35","Carlos Hyde","","","RB17","","","36.2"
"36","Travis Kelce","KC","10","TE2","","","37.2"
"37","Demaryius Thomas","","","WR15","","","38.0"
"38","Alshon Jeffery","","","WR16","","","39.2"
"39","Joe Mixon","","","RB18","","","39.6"
"40","Matt Ryan","","","QB4","","","39.8"
"41","Keenan Allen","LAC","9","WR17","","","42.8"
"42","Ty Montgomery","II","","RB19","","","44.6"
"43","Davante Adams","LAR","8","WR18","","","45.4"
"44","Kareem Hunt","","","RB20","","","45.8"
"45","Michael Crabtree","","","WR19","","","46.8"
"46","C.J. Anderson","","","RB21","","","47.2"
"47","Greg Olsen","","","TE3","","","47.4"
"48","Allen Robinson","II","","WR20","","","48.6"
"49","Tyreek Hill","","","WR21","","","49.0"
"50","Mark Ingram","II","","RB22","","","49.6"
"51","Jordan Reed","","","TE4","","","50.8"
"52","Kelvin Benjamin","","","WR22","","","55.0"
"53","Jimmy Graham","","","TE5","","","55.4"
"54","Russell Wilson","","","QB5","","","57.6"
"55","Jarvis Landry","","","WR23","","","58.6"
"56","Martavis Bryant","","","WR24","","","59.2"
"57","Golden Tate","","","WR25","","","59.2"
"58","Larry Fitzgerald","","","WR26","","","60.0"
"59","Bilal Powell","","","RB23","","","60.6"
"60","Sammy Watkins","","","WR27","","","63.2"
"61","Ameer Abdullah","","","RB24","","","65.0"
"62","Mike Gillislee","","","RB25","","","66.0"
"63","Tevin Coleman","","","RB26","","","67.6"
"64","Emmanuel Sanders","","","WR28","","","67.8"
"65","Stefon Diggs","","","WR29","","","67.8"
"66","Doug Martin","","","RB27","","","69.4"
"67","Marcus Mariota","WAS","5","QB6","","","71.2"
"68","Tyler Eifert","","","TE6","","","71.6"
"69","Cam Newton","","","QB7","","","73.2"
"70","Adrian Peterson","","","RB28","","","74.4"
"71","Jameis Winston","NYG","8","QB8","","","75.8"
"72","Jamison Crowder","","","WR30","","","76.2"
"73","Frank Gore","","","RB29","","","76.4"
"74","Brandon Marshall","","","WR31","","","76.6"
"75","Derek Carr","","","QB9","","","77.4"
"76","Kyle Rudolph","","","TE7","","","78.0"
"77","Kirk Cousins","LV","","QB10","","","78.2"
"78","Delanie Walker","","","TE8","","","79.8"
"79","Robert Kelley","","","RB30","","","81.8"
"80","DeVante Parker","","","WR32","","","82.4"
"81","LeGarrette Blount","","","RB31","","","82.6"
"82","Martellus Bennett","","","TE9","","","83.6"
"83","Paul Perkins","","","RB32","","","84.2"
"84","Andrew Luck","","","QB11","","","84.8"
"85","Derrick Henry","BAL","10","RB33","","","90.4"
"86","Danny Woodhead","","","RB34","","","90.4"
"87","Willie Snead","IV","","WR33","","","91.8"
"88","Pierre Garcon","","","WR34","","","92.0"
"89","Zach Ertz","","","TE10","","","92.4"
"90","Eddie Lacy","","","RB35","","","93.6"
"91","DeSean Jackson","","","WR35","","","93.6"
"92","Dak Prescott","DAL","6","QB12","","","95.4"
"93","Randall Cobb","","","WR36","","","96.0"
"94","Ben Roethlisberger","","","QB13","","","96.8"
"95","Eric Decker","","","WR37","","","99.6"
"96","Terrance West","","","RB36","","","100.4"
"97","Donte Moncrief","","","WR38","","","102.0"
"98","Jeremy Maclin","","","WR39","","","103.2"
"99","Jonathan Stewart","","","RB37","","","103.6"
"100","Stephen Gostkowski","","","K1","","","105.6"
"101","Thomas Rawls","","","RB38","","","107.8"
"102","Darren McFadden","","","RB39","","","109.2"
"103","Theo Riddick","","","RB40","","","111.2"
"104","Matthew Stafford","LAR","8","QB14","","","112.4"
"105","Justin Tucker","","","K2","","","113.4"
"106","Hunter Henry","NE","9","TE11","","","115.2"
"107","Tyrell Williams","","","WR40","","","116.2"
"108","Matt Bryant","","","K3","","","116.8"
"109","Chris Hogan","","","WR41","","","117.8"
"110","Philip Rivers","","","QB15","","","118.0"
"111","Corey Coleman","","","WR42","","","118.4"
"112","Corey Davis","","","WR43","","","118.4"
"113","Matt Forte","","","RB41","","","121.0"
"114","Samaje Perine","CIN","6","RB42","","","123.4"
"115","Duke Johnson Jr.","","","RB43","","","123.8"
"116","John Brown","","","WR44","","","124.6"
"117","Adam Thielen","","","WR45","","","125.8"
"118","Kenny Britt","","","WR46","","","125.8"
"119","James White","","","RB44","","","126.0"
"120","Marvin Jones Jr.","","","WR47","","","127.8"
