"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG"
"1","Christian McCaffrey","SF","9","RB1","1","2","1.5"
"2","Justin Jefferson","MIN","13","WR1","2","1","1.5"
"3","Austin Ekeler","","","RB2","3","4","3.5"
"4","Ja'Marr Chase","CIN","7","WR2","6","3","4.5"
"5","Travis Kelce","KC","10","TE1","4","6","5.0"
"6","Tyreek Hill","","","WR3","8","5","6.5"
"7","Bijan Robinson","ATL","11","RB3","5","8","6.5"
"8","Saquon Barkley","PHI","10","RB4","9","7","8.0"
"9","Nick Chubb ","","","RB5","7","9","8.0"
"10","Stefon Diggs","","","WR4","11","11","11.0"
"11","CeeDee Lamb","DAL","7","WR5","14","10","12.0"
"12","Patrick Mahomes II","KC","10","QB1","12","16","14.0"
"13","A.J. Brown","PHI","10","WR6","13","15","14.0"
"14","Derrick Henry","BAL","13","RB6","10","20","15.0"
"15","Josh Jacobs","GB","6","RB7","17","13","15.0"
"16","Tony Pollard","TEN","7","RB8","19","12","15.5"
"17","Davante Adams","LAR","10","WR7","16","18","17.0"
"18","Cooper Kupp","SEA","5","WR8","15","21","18.0"
"19","Amon-Ra St. Brown","DET","9","WR9","20","17","18.5"
"20","Josh Allen","BUF","13","QB2","18","19","18.5"
"21","Garrett Wilson","NYJ","7","WR10","24","14","19.0"
"22","Jalen Hurts","PHI","10","QB3","21","22","21.5"
"23","Najee Harris","LAC","5","RB9","22","26","24.0"
"24","Jaylen Waddle","DEN","9","WR11","23","25","24.0"
"25","Chris Olave","NO","11","WR12","27","23","25.0"
"26","Travis Etienne Jr.","NO","11","RB10","25","27","26.0"
"27","DeVonta Smith","PHI","10","WR13","33","24","28.5"
"28","Mark Andrews","BAL","13","TE2","26","31","28.5"
"29","Rhamondre Stevenson","NE","11","RB11","29","28","28.5"
"30","Joe Mixon","","","RB12","28","32","30.0"
"31","Jahmyr Gibbs","DET","9","RB13","32","30","31.0"
"32","Lamar Jackson","BAL","13","QB4","30","35","32.5"
"33","Tee Higgins","CIN","7","WR14","31","36","33.5"
"34","Joe Burrow","CIN","7 ","QB5","34","34","34.0"
"35","Calvin Ridley","TEN","7","WR15","40","29","34.5"
"36","DK Metcalf","PIT","6","WR16","35","37","36.0"
"37","Deebo Samuel Sr.","","","WR17","36","41","38.5"
"38","Kenneth Walker III","KC","10","RB14","39","38","38.5"
"39","Dameon Pierce","PHI","10","RB15","46","33","39.5"
"40","Aaron Jones Sr.","MIN","13","RB16","37","42","39.5"
"41","Justin Herbert","LAC","5 ","QB6","41","39","40.0"
"42","Amari Cooper","","","WR18","44","40","42.0"
"43","Keenan Allen","LAC","5","WR19","42","43","42.5"
"44","Justin Fields","KC","10","QB7","47","44","45.5"
"45","Breece Hall","NYJ","7","RB17","38","55","46.5"
"46","T.J. Hockenson","MIN","13 ","TE3","48","45","46.5"
"47","J.K. Dobbins","DEN","9 ","RB18","49","46","47.5"
"48","Miles Sanders","","","RB19","50","49","49.5"
"49","DJ Moore","BUF","13","WR20","52","50","51.0"
"50","George Kittle","SF","9","TE4","43","60","51.5"
"51","Alexander Mattison","","","RB20","56","47","51.5"
"52","Darren Waller","","","TE5","55","51","53.0"
"53","Terry McLaurin","WAS","14","WR21","53","56","54.5"
"54","DeAndre Hopkins","BAL","13","WR22","51","59","55.0"
"55","Trevor Lawrence","JAC","9","QB8","57","53","55.0"
"56","Jonathan Taylor","IND","11","RB21","45","69","57.0"
"57","Cam Akers","SEA","5 ","RB22","54","61","57.5"
"58","Christian Watson","GB","6","WR23","62","54","58.0"
"59","Javonte Williams","DAL","7","RB23","67","57","62.0"
"60","James Cook III","BUF","13","RB24","77","48","62.5"
"61","Rachaad White","WAS","14","RB25","73","52","62.5"
"62","James Conner","ARI","14","RB26","59","66","62.5"
"63","Mike Williams ","","","WR24","68","58","63.0"
"64","Alvin Kamara","NO","11","RB27","58","68","63.0"
