"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG"
"1","Saquon Barkley","PHI","10","RB1","","","1.0"
"2","Christian McCaffrey","SF","4","RB2","","","2.5"
"3","Alvin Kamara","NO","9","RB3","","","2.5"
"4","Ezekiel Elliott","","","RB4","","","4.0"
"5","DeAndre Hopkins","BAL","8","WR1","","","5.3"
"6","James Conner","ARI","12","RB5","","","6.5"
"7","Le","","'Veon Bell","","","RB6","","","7.5"
"8","Davante Adams","LAR","9","WR2","","","9.0"
"9","David Johnson","","","RB7","","","9.3"
"10","Nick Chubb","","","RB8","","","10.5"
"11","Todd Gurley","II","","RB9","","","11.8"
"12","Patrick Mahomes II","KC","12","QB1","","","12.0"
"13","Michael Thomas","","","WR3","","","12.8"
"14","Julio Jones","","","WR4","","","13.0"
"15","Dalvin Cook","","","RB10","","","16.3"
"16","Tyreek Hill","","","WR5","","","16.3"
"17","JuJu Smith-Schuster","","","WR6","","","17.0"
"18","Odell Beckham Jr.","","","WR7","","","17.0"
"19","Joe Mixon","","","RB11","","","17.3"
"20","Travis Kelce","KC","12","TE1","","","18.8"
"21","Leonard Fournette","","","RB12","","","21.5"
"22","Mike Evans","SF","4 ","WR8","","","22.3"
"23","Antonio Brown","","","WR9","","","22.8"
"24","Adam Thielen","","","WR10","","","25.5"
"25","Damien Williams","","","RB13","","","26.0"
"26","Keenan Allen","LAC","12","WR11","","","26.8"
"27","Kerryon Johnson","","","RB14","","","27.0"
"28","Aaron Jones Sr.","MIN","12","RB15","","","28.0"
"29","Zach Ertz","","","TE2","","","31.3"
"30","Chris Carson ","","","RB16","","","31.8"
"31","George Kittle","SF","4","TE3","","","32.8"
"32","Josh Jacobs","GB","11","RB17","","","33.0"
"33","Devonta Freeman","","","RB18","","","33.3"
"34","Amari Cooper","","","WR12","","","33.3"
"35","Stefon Diggs","","","WR13","","","34.8"
"36","Derrick Henry","BAL","8","RB19","","","36.5"
"37","Deshaun Watson","CLE","7","QB2","","","38.0"
"38","David Montgomery","HOU","10","RB20","","","39.0"
"39","Marlon Mack","","","RB21","","","39.0"
"40","Brandin Cooks","","","WR14","","","39.3"
"41","Mark Ingram","II","","RB22","","","42.5"
"42","Robert Woods","","","WR15","","","43.3"
"43","Julian Edelman","","","WR16","","","44.0"
"44","Sony Michel","","","RB23","","","44.8"
"45","T.Y. Hilton","","","WR17","","","45.3"
"46","Tyler Lockett","LV","","WR18","","","45.5"
"47","Aaron Rodgers","","","QB3","","","46.5"
"48","Melvin Gordon","III","","RB24","","","47.5"
"49","Kenny Golladay","","","WR19","","","48.5"
"50","Chris Godwin Jr.","TB","7","WR20","","","49.0"
"51","Cooper Kupp","SEA","11","WR21","","","50.5"
"52","Phillip Lindsay","","","RB25","","","51.5"
"53","Calvin Ridley","TEN","11 ","WR22","","","54.8"
"54","Baker Mayfield","TB","7","QB4","","","56.0"
"55","O.J. Howard","","","TE4","","","56.5"
"56","Tevin Coleman","","","RB26","","","57.0"
"57","Tyler Boyd","","","WR23","","","58.0"
"58","Austin Ekeler","","","RB27","","","60.3"
"59","Mike Williams","","","WR24","","","60.8"
"60","A.J. Green ","","","WR25","","","62.5"
"61","Evan Engram","DEN","10 ","TE5","","","63.8"
"62","Matt Ryan","","","QB5","","","64.3"
"63","Alshon Jeffery ","","","WR26","","","64.5"
"64","James White","","","RB28","","","64.8"
"65","Josh Gordon","","","WR27","","","67.3"
"66","Hunter Henry","NE","10","TE6","","","68.3"
"67","DJ Moore","BUF","6","WR28","","","68.8"
"68","Miles Sanders","","","RB29","","","69.0"
"69","Jarvis Landry","","","WR29","","","71.0"
"70","Duke Johnson Jr.","","","RB30","","","71.3"
"71","Drew Brees","","","QB6","","","72.3"
"72","Carson Wentz","MIN","12","QB7","","","72.5"
"73","Derrius Guice ","","","RB31","","","73.8"
"74","Kenyan Drake","","","RB32","","","74.0"
"75","Jared Cook","","","TE7","","","74.3"
"76","Tarik Cohen","","","RB33","","","74.5"
"77","Allen Robinson","II","","WR30","","","75.3"
"78","Robbie Chosen","","","WR31","","","77.3"
"79","Jared Goff","DET","5","QB8","","","79.0"
"80","Dede Westbrook","","","WR32","","","80.0"
"81","William Fuller","V","","WR33","","","81.3"
"82","Russell Wilson","","","QB9","","","83.0"
"83","Latavius Murray","","","RB34","","","85.3"
"84","Chicago Bears","DST","6","DST1","","","89.0"
"85","Vance McDonald","","","TE8","","","89.3"
"86","Sammy Watkins","","","WR34","","","89.5"
"87","Jordan Howard","","","RB35","","","89.8"
"88","Emmanuel Sanders","","","WR35","","","91.0"
"89","Cam Newton ","","","QB10","","","91.0"
"90","Christian Kirk","SF","4","WR36","","","91.3"
"91","Sterling Shepard","","","WR37","","","93.5"
"92","Corey Davis","","","WR38","","","95.5"
"93","Marvin Jones Jr. ","","","WR39","","","97.0"
"94","LeSean McCoy","","","RB36","","","98.3"
"95","Eric Ebron ","","","TE9","","","99.0"
"96","Ben Roethlisberger ","","","QB11","","","99.5"
"97","Matt Breida","","","RB37","","","99.8"
"98","Curtis Samuel","","","WR40","","","100.0"
"99","Devin Singletary","NYG","11","RB38","","","100.8"
"100","Rashaad Penny ","","","RB39","","","101.3"
"101","David Njoku","","","TE10","","","102.0"
"102","Darrell Henderson Jr.","","","RB40","","","102.3"
"103","Jameis Winston","NYG","11","QB12","","","103.5"
"104","Larry Fitzgerald","","","WR41","","","103.8"
"105","Tom Brady","","","QB13","","","104.0"
"106","Lamar Jackson","BAL","8","QB14","","","104.3"
"107","Peyton Barber","","","RB41","","","111.3"
"108","Kyler Murray","MIN","12","QB15","","","111.8"
"109","Dante Pettis","NO","9","WR42","","","112.0"
"110","Kareem Hunt","","","RB42","","","113.0"
"111","Los Angeles Rams","DST","9","DST2","","","113.0"
"112","Royce Freeman","","","RB43","","","113.3"
"113","Marquez Valdes-Scantling","","","WR43","","","113.5"
"114","Tony Pollard","TEN","11","RB44","","","114.3"
"115","Courtland Sutton","DEN","10","WR44","","","114.8"
"116","Philip Rivers","","","QB16","","","115.0"
"117","Delanie Walker ","","","TE11","","","116.3"
"118","Greg Zuerlein","","","K1","","","117.5"
"119","James Washington","","","WR45","","","119.3"
"120","Geronimo Allison","","","WR46","","","123.3"
"121","Darwin Thompson","","","RB45","","","123.8"
"122","Dak Prescott","DAL","8","QB17","","","123.8"
"123","Adrian Peterson","","","RB46","","","124.8"
"124","Justin Tucker","","","K2","","","125.5"
"125","Jacksonville Jaguars","DST","10","DST3","","","125.5"
"126","Minnesota Vikings","DST","12","DST4","","","125.8"
"127","DeSean Jackson ","","","WR47","","","130.5"
"128","Justin Jackson","","","RB47","","","131.3"
"129","Austin Hooper","ATL","9","TE12","","","132.3"
"130","Kalen Ballage ","","","RB48","","","132.8"
"131","Dion Lewis","","","RB49","","","133.8"
"132","Michael Gallup","","","WR48","","","135.3"
"133","Baltimore Ravens","DST","8","DST5","","","135.3"
"134","Kirk Cousins","LV","","QB18","","","137.0"
"135","Donte Moncrief","","","WR49","","","139.0"
"136","T.J. Hockenson","MIN","12 ","TE13","","","139.3"
"137","Jaylen Samuels","","","RB50","","","139.3"
"138","Harrison Butker","KC","12","K3","","","139.5"
"139","Tyrell Williams","","","WR50","","","140.5"
"140","Mark Andrews","BAL","8","TE14","","","144.8"
"141","Mitchell Trubisky","TEN","11","QB19","","","146.5"
"142","John Brown","","","WR51","","","147.0"
"143","Stephen Gostkowski ","","","K4","","","147.3"
"144","Anthony Miller","","","WR52","","","147.8"
"145","DK Metcalf","PIT","7","WR53","","","148.3"
"146","Golden Tate","","","WR54","","","148.5"
"147","Greg Olsen","","","TE15","","","151.3"
"148","Justice Hill","BAL","8","RB51","","","151.5"
"149","Ronald Jones","II","","RB52","","","152.5"
"150","Jimmy Garoppolo","LAR","9","QB20","","","154.3"
"151","Carlos Hyde","","","RB53","","","155.5"
"152","Trey Burton ","","","TE16","","","156.3"
"153","Alexander Mattison","","","RB54","","","159.3"
"154","Josh Allen","BUF","6","QB21","","","159.3"
"155","Denver Broncos","DST","10","DST6","","","161.5"
"156","New England Patriots","DST","10","DST7","","","161.8"
"157","Houston Texans","DST","10","DST8","","","161.8"
"158","Keke Coutee","","","WR55","","","162.0"
"159","Damien Harris","","","RB55","","","163.5"
"160","Ka'imi Fairbairn","HOU","10","K5","","","164.3"
"161","Buffalo Bills","DST","6","DST9","","","166.8"
"162","Cleveland Browns","DST","7","DST10","","","168.8"
"163","Dallas Cowboys","DST","8","DST11","","","170.5"
"164","Ito Smith ","","","RB56","","","171.5"
"165","Jamison Crowder","","","WR56","","","172.5"
"166","Matthew Stafford","LAR","9 ","QB22","","","176.5"
"167","Robbie Gould","","","K6","","","179.3"
"168","Los Angeles Chargers","DST","12","DST12","","","143.3"
"169","Kyle Rudolph","","","TE17","","","146.3"
"170","Deebo Samuel Sr.","","","WR57","","","185.3"
"171","Wil Lutz","DEN","10","K7","","","149.7"
"172","Seattle Seahawks","DST","11","DST13","","","187.0"
"173","N","","'Keal Harry","","","WR58","","","154.0"
"174","Jordan Reed","","","TE18","","","156.7"
"175","Marquise Goodwin","","","WR59","","","193.0"
"176","New Orleans Saints","DST","9","DST14","","","158.7"
"177","Jimmy Graham","","","TE19","","","158.7"
"178","Jake Elliott","PHI","10","K8","","","196.0"
"179","Philadelphia Eagles","DST","10","DST15","","","199.8"
"180","Mohamed Sanu Sr.","","","WR60","","","168.0"
"181","Michael Badgley","","","K9","","","202.8"
"182","Derek Carr","","","QB23","","","172.0"
"183","Nyheim Miller-Hines","","","RB57","","","175.7"
"184","Hollywood Brown","PHI","10","WR61","","","178.0"
"185","Mecole Hardman Jr.","BUF","6","WR62","","","179.0"
"186","Sam Darnold","SEA","11","QB24","","","185.7"
"187","Kenny Stills","","","WR63","","","186.7"
"188","Kansas City Chiefs","DST","12","DST16","","","188.3"
"189","C.J. Anderson","","","RB58","","","188.7"
"190","Chris Thompson","","","RB59","","","189.0"
"191","Noah Fant","NO","9","TE20","","","190.3"
"192","Pittsburgh Steelers","DST","7","DST17","","","192.3"
"193","Jamaal Williams","","","RB60","","","200.3"
"194","Darren Waller","","","TE21","","","202.7"
"195","Nick Foles","","","QB25","","","205.3"
"196","Jalen Richard","","","RB61","","","206.0"
"197","Zay Jones","","","WR64","","","206.3"
"198","Malcolm Brown","","","RB62","","","207.7"
"199","Dare Ogunbowale","","","RB63","","","208.3"
"200","Devin Funchess ","","","WR65","","","163.5"
"201","Marqise","Lee","","WR66","","","209.0"
"202","Nelson Agholor","","","WR67","","","210.0"
"203","Mason Crosby","","","K10","","","210.3"
"204","DaeSean Hamilton","","","WR68","","","210.7"
"205","Albert Wilson","","","WR69","","","212.7"
"206","Matt Prater","","","K11","","","213.3"
"207","DeVante Parker","","","WR70","","","172.5"
"208","Tre","","'Quan Smith","","","WR71","","","174.0"
"209","Ty Montgomery","II","","RB64","","","217.3"
"210","Jack Doyle","","","TE22","","","217.7"
"211","Jason Witten","","","TE23","","","218.7"
"212","Frank Gore","","","RB65","","","219.7"
"213","Miles Boykin","","","WR72","","","225.3"
"214","Adam Vinatieri ","","","K12","","","226.3"
"215","Indianapolis Colts","DST","6","DST18","","","226.7"
"216","Matt Bryant","","","K13","","","250.3"
"217","Jason Myers","SEA","11","K14","","","228.0"
"218","Brett Maher","","","K15","","","228.3"
"219","Chris Herndon IV ","","","TE24","","","196.0"
"220","Green Bay Packers","DST","11","DST19","","","231.0"
"221","Adam Humphries","","","WR73","","","200.5"
"222","J.J. Arcega-Whiteside","","","WR74","","","201.0"
"223","Tennessee Titans","DST","11","DST20","","","233.7"
"224","Dallas Goedert","PHI","10","TE25","","","207.0"
"225","Giovani Bernard","","","RB66","","","207.5"
"226","Austin Seibert","","","K16","","","240.3"
"227","Parris Campbell","DAL","8 ","WR75","","","211.5"
"228","Chris Boswell","PIT","7","K17","","","242.3"
"229","Marcus Mariota","WAS","10","QB26","","","215.0"
"230","A.J. Brown","PHI","10","WR76","","","218.5"
"231","Gus Edwards","","","RB67","","","218.5"
"232","Randall Cobb","","","WR77","","","219.0"
"233","Cameron Brate","","","TE26","","","259.3"
"234","Giorgio Tavecchio","","","K18","","","229.5"
"235","Mike Davis","","","RB68","","","231.0"
"236","Demaryius Thomas","","","WR78","","","232.0"
"237","Washington Commanders","DST","10","DST21","","","256.0"
"238","Andy Isabella","","","WR79","","","234.0"
"239","Chase Edmonds","WAS","10","RB69","","","234.5"
"240","Chris Moore","","","WR80","","","288.5"
"241","Tyler Eifert","","","TE27","","","241.5"
"242","Antonio Callaway ","","","WR81","","","187.0"
"243","Jacoby Brissett","ARI","12","QB27","","","243.0"
"244","Darrel Williams ","","","RB70","","","189.0"
"245","T.J. Yeldon","","","RB71","","","244.0"
"246","Ted Ginn Jr.","","","WR82","","","248.5"
"247","Quincy Enunwa ","","","WR83","","","246.5"
"248","Kelvin Harmon","","","WR84","","","196.0"
"249","Willie Snead","IV","","WR85","","","249.0"
"250","Trayveon Williams","","","RB72","","","200.0"
"251","Andy Dalton","PHI","10","QB28","","","250.0"
"252","Mike Gesicki","CIN","9","TE28","","","250.5"
"253","Diontae Johnson","","","WR86","","","203.0"
"254","San Francisco 49ers","DST","4","DST22","","","251.0"
"255","Ryquell Armstead","","","RB73","","","251.5"
"256","Rashard Higgins","","","WR87","","","254.5"
"257","Aldrick Rosas","","","K19","","","254.5"
"258","Robert Foster","","","WR88","","","211.0"
"259","Jakobi Meyers","JAC","10","WR89","","","212.0"
"260","Preston Williams ","","","WR90","","","213.0"
"261","Cole Beasley","","","WR91","","","256.0"
"262","Matt LaCosse","","","TE29","","","222.0"
"263","Dontrell Hilliard","","","RB74","","","260.5"
"264","Trey Quinn ","","","WR92","","","262.0"
"265","Paul Richardson Jr. ","","","WR93","","","262.0"
"266","Atlanta Falcons","DST","9","DST23","","","269.0"
"267","Irv Smith Jr.","","","TE30","","","229.0"
"268","Dan Bailey","","","K20","","","264.0"
"269","Jalen Hurd","","","WR94","","","230.0"
"270","Matt Gay","LV","","K21","","","265.0"
"271","Danny Amendola","","","WR95","","","265.0"
"272","Benjamin Watson","","","TE31","","","289.0"
"273","Joe Flacco","CIN","9 ","QB29","","","270.5"
"274","Riley Ridley","","","WR96","","","241.0"
"275","Ryan Succop ","","","K22","","","281.5"
"276","Arizona Cardinals","DST","12","DST24","","","242.0"
