"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG"
"277","Las Vegas Raiders","DST","","DST25","","","312.0"
"278","Carolina Panthers","DST","7","DST26","","","271.5"
"279","Jake Kumerow","","","WR97","","","307.5"
"280","Alfred Morris","","","RB75","","","246.0"
"281","Brian Hill","","","RB76","","","247.0"
"282","","","","1","","","273.0"
"283","Qadree Ollison","","","RB77","","","251.0"
"284","Hunter Renfrow","","","WR98","","","275.0"
"285","New York Jets","DST","4","DST27","","","281.0"
"286","Demarcus Robinson","SF","4","WR99","","","257.0"
"287","Josh Doctson","","","WR100","","","279.0"
"288","Dexter Williams","","","RB78","","","260.0"
"289","Damarea Crockett","","","RB79","","","260.0"
"290","Will Dissly ","","","TE32","","","312.5"
"291","DJ Chark Jr.","","","WR101","","","262.0"
"292","Josh Reynolds","","","WR102","","","263.0"
"293","John Ross","","","WR103","","","282.0"
"294","Gerald Everett","","","TE33","","","266.0"
"295","Eddy Pineiro","SF","4","K23","","","282.5"
"296","Brandon McManus","GB","11","K24","","","296.0"
"297","Myles Gaskin","","","RB80","","","267.0"
"298","Detroit Lions","DST","5","DST28","","","289.0"
"299","Cincinnati Bengals","DST","9","DST29","","","271.0"
"300","David Moore","CAR","7","WR104","","","272.0"
"301","Wayne Gallman Jr.","","","RB81","","","301.5"
"302","KeeSean Johnson","","","WR105","","","273.0"
"303","Jay Ajayi","","","RB82","","","274.0"
"304","Stephen Hauschka","","","K25","","","322.5"
"305","Daniel Carlson","LV","","K26","","","324.0"
"306","Bruce Anderson","III","","RB83","","","276.0"
"307","Miami Dolphins","DST","5","DST30","","","317.0"
"308","Phillip Dorsett II","LV","","WR106","","","308.5"
"309","Theo Riddick","","","RB84","","","279.0"
"310","Ian Thomas","LV","","TE34","","","280.0"
"311","Travis Benjamin","","","WR107","","","281.0"
"312","Rex Burkhead","","","RB85","","","290.0"
"313","Taylor Gabriel","","","WR108","","","282.0"
"314","Vernon Davis","","","TE35","","","338.0"
"315","Josh Lambo","","","K27","","","327.5"
"316","Benny Snell Jr.","","","RB86","","","284.0"
"317","Eli Manning","","","QB30","","","295.0"
"318","Alfred Blue","","","RB87","","","292.0"
"319","Joey Slye","TEN","11","K28","","","332.0"
"320","Daniel Jones","IND","6","QB31","","","324.0"
"321","Doug Martin","","","RB88","","","289.0"
"322","Taywan Taylor","","","WR109","","","291.0"
"323","Ryan Fitzpatrick","","","QB32","","","307.5"
"324","Josh Rosen","","","QB33","","","292.0"
"325","New York Giants","DST","11","DST31","","","339.0"
"326","Dustin Hopkins","","","K29","","","332.0"
"327","Randy Bullock","","","K30","","","322.5"
"328","Corey Clement","","","RB89","","","298.0"
"329","Alex Collins","","","RB90","","","300.0"
"330","Chris Conley","","","WR110","","","301.0"
"331","Hayden Hurst","","","TE36","","","303.0"
"332","Devontae Booker","","","RB91","","","308.0"
"333","Chris Hogan","","","WR111","","","310.0"
"334","Laquon Treadwell","IND","6","WR112","","","313.0"
"335","","","","2","","","314.0"
"336","Kendrick Bourne","ARI","12","WR113","","","315.0"
"337","Ricky Seals-Jones","","","TE37","","","316.0"
"338","Case Keenum","CHI","6","QB34","","","317.0"
"339","Deon Cain","","","WR114","","","318.0"
"340","Zach Zenner","","","RB92","","","319.0"
"341","Blake Jarwin","","","TE38","","","320.0"
"342","Spencer Ware","","","RB93","","","321.0"
"343","Breshad Perriman","","","WR115","","","323.0"
"344","Cordarrelle Patterson","","","RB94","","","325.0"
"345","Bilal Powell","","","RB95","","","327.0"
"346","Michael Crabtree","","","WR116","","","329.0"
"347","Cameron Artis-Payne","","","RB96","","","330.0"
"348","C.J. Uzomah","","","TE39","","","332.0"
"349","Chester Rogers ","","","WR117","","","333.0"
"350","Jesse James","","","TE40","","","334.0"
"351","Jaron Brown","","","WR118","","","335.0"
"352","Wendell Smallwood","","","RB97","","","336.0"
"353","Kyle Juszczyk","SF","4","RB98","","","337.0"
"354","Jordan Matthews","","","TE41","","","338.0"
"355","Seth Roberts","","","WR119","","","340.0"
"356","Geoff Swaim","","","TE42","","","341.0"
"357","Jarius Wright","","","WR120","","","342.0"
"358","Tajae Sharpe","","","WR121","","","343.0"
"359","Drew Lock","SEA","11","QB35","","","344.0"
"360","Isaiah McKenzie","","","WR122","","","345.0"
"361","Tim Patrick","","","WR123","","","347.0"
"362","Keelan Cole Sr.","","","WR124","","","349.0"
"363","Jordan Wilkins","","","RB99","","","350.0"
"364","Jordan Thomas","","","TE43","","","351.0"
"365","Kapri Bibbs","","","RB100","","","352.0"
"366","James Develin ","","","RB101","","","353.0"
"367","Blake Bortles","","","QB36","","","354.0"
"368","Zach Pascal","","","WR125","","","355.0"
"369","Nick Vannett","LAR","9","TE44","","","356.0"
"370","Aldrick Robinson","","","WR126","","","357.0"
"371","Ryan Tannehill","","","QB37","","","359.0"
"372","C.J. Beathard","","","QB38","","","361.0"
"373","Chris Ivory","","","RB102","","","362.0"
"374","Terry McLaurin","WAS","10","WR127","","","363.0"
"375","Jason Sanders","NYG","11","K31","","","365.0"
"376","Manasseh Garner","","","TE45","","","366.0"
"377","Demetrius Harris","","","TE46","","","368.0"
"378","Felton Davis","III","","WR128","","","374.0"
"379","Ty Johnson","BUF","6","RB103","","","375.0"
"380","Greg Joseph","","","K32","","","376.0"
"381","James 'Shaughnessy","O","","TE47","","","377.0"
"382","Dawson Knox","BUF","6","TE48","","","379.0"
"383","Darren Sproles ","","","RB104","","","380.0"
"384","Jeff Heuerman","","","TE49","","","381.0"
"385","Garrett Gilbert","","","QB39","","","383.0"
"386","Trent Taylor ","","","WR129","","","384.0"
"387","Mason Rudolph","PIT","7 ","QB40","","","386.0"
"388","C.J. Prosise ","","","RB105","","","387.0"
"389","De","","'Angelo Henderson Sr.","","","RB106","","","388.0"
"390","Quadree Henderson","","","WR130","","","389.0"
"391","Gary Jennings Jr. ","","","WR131","","","390.0"
"392","Tampa Bay Buccaneers","DST","7","DST32","","","391.0"
"393","Jakeem Grant Sr.","","","WR132","","","393.0"
"394","Mark Walton","","","RB107","","","395.0"
"395","Josh liver","MIN","12 O","TE50","","","396.0"
"396","Dontrelle Inman","","","WR133","","","397.0"
"397","Ryan Switzer","","","WR134","","","398.0"
"398","Andre Ellington","","","RB108","","","399.0"
"399","Tyler Kroft","","","TE51","","","401.0"
"400","Jonnu Smith","","","TE52","","","402.0"
"401","Foster Moreau","HOU","10","TE53","","","403.0"
"402","Bryce Love","","","RB109","","","408.0"
"403","D","","'Onta Foreman","","","RB110","","","409.0"
""
""
