"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG","Real-Time (?)"
"1","Ja'Marr Chase","CIN","10","WR1","1","1","1.0","1"
"2","Bijan Robinson","ATL","5","RB1","3","2","2.5","2"
"3","Saquon Barkley","PHI","9","RB2","2","4","3.0","3"
"4","Jahmyr Gibbs","DET","8","RB3","5","3","4.0","4"
"5","Justin Jefferson","MIN","6","WR2","4","6","5.0","6  -1"
"6","CeeDee Lamb","DAL","10","WR3","6","5","5.5","5  +1"
"7","Amon-Ra St. Brown","DET","8","WR4","8","10","9.0","10  -3"
"8","Malik Nabers","NYG","14 ","WR5","9","9","9.0","12  -4"
"9","Ashton Jeanty","LV","8","RB4","11","8","9.5","9"
"10","Christian McCaffrey","SF","14","RB5","14","7","10.5","8  +2"
"11","Derrick Henry","BAL","7","RB6","10","12","11.0","7  +4"
"12","Nico Collins","HOU","6","WR6","12","11","11.5","13  -1"
"13","Puka Nacua","LAR","8","WR7","7","17","12.0","16  -3"
"14","Brian Thomas Jr.","JAC","8","WR8","13","14","13.5","19  -5"
"15","Josh Jacobs","GB","5","RB7","20","13","16.5","11  +4"
"16","Bucky Irving","TB","9","RB8","17","16","16.5","21  -5"
"17","De'Von Achane","MIA","12","RB9","16","18","17.0","17"
"18","Brock Bowers","LV","8 ","TE1","15","21","18.0","24  -6"
"19","Drake London","ATL","5","WR9","18","19","18.5","15  +4"
"20","Chase Brown","CIN","10","RB10","28","15","21.5","23  -3"
"21","Jonathan Taylor","IND","11","RB11","23","20","21.5","14  +7"
"22","A.J. Brown","PHI","9","WR10","19","25","22.0","18  +4"
"23","Josh Allen","BUF","7","QB1","22","24","23.0","20  +3"
"24","Lamar Jackson","BAL","7","QB2","25","22","23.5","22  +2"
"25","Kyren Williams","LAR","8","RB12","27","23","25.0","27  -2"
"26","Ladd McConkey","LAC","12","WR11","21","30","25.5","26"
"27","Trey McBride","ARI","8","TE2","24","27","25.5","30  -3"
"28","Jayden Daniels","WAS","12 ","QB3","30","29","29.5","31  -3"
"29","Jaxon Smith-Njigba","SEA","8","WR12","26","34","30.0","37  -8"
"30","Tyreek Hill ","","","WR13","29","31","30.0","38  -8"
"31","James Cook III","BUF","7","RB13","35","28","31.5","25  +6"
"32","Omarion Hampton","LAC","12","RB14","39","26","32.5","29  +3"
"33","Tee Higgins","CIN","10","WR14","31","37","34.0","28  +5"
"34","Breece Hall","NYJ","9","RB15","33","35","34.0","45  -11"
"35","Terry McLaurin","WAS","12","WR15","34","38","36.0","35"
"36","Joe Burrow","CIN","10","QB4","43","32","37.5","40  -4"
"37","Garrett Wilson","NYJ","9 ","WR16","32","44","38.0","47  -10"
"38","Alvin Kamara","NO","11","RB16","44","33","38.5","41  -3"
"39","George Kittle","SF","14","TE3","38","40","39.0","33  +6"
"40","Marvin Harrison Jr.","ARI","8","WR17","36","45","40.5","39  +1"
"41","Jalen Hurts","PHI","9","QB5","40","41","40.5","32  +9"
"42","Mike Evans","SF","14","WR18","37","46","41.5","34  +8"
"43","Kenneth Walker III","KC","10","RB17","45","39","42.0","36  +7"
"44","Davante Adams","LAR","8","WR19","42","43","42.5","46  -2"
"45","Chuba Hubbard","CAR","14","RB18","47","42","44.5","44  +1"
"46","TreVeyon Henderson","NE","14","RB19","63","36","49.5","43  +3"
"47","James Conner","ARI","8 ","RB20","51","48","49.5","42  +5"
"48","DJ Moore","BUF","7","WR20","48","51","49.5","62  -14"
"49","Courtland Sutton","DEN","12","WR21","50","49","49.5","59  -10"
"50","DK Metcalf","PIT","5","WR22","49","53","51.0","48  +2"
"51","RJ Harvey","DEN","12","RB21","58","50","54.0","52  -1"
"52","Tetairoa McMillan","CAR","14","WR23","60","52","56.0","61  -9"
"53","DeVonta Smith","PHI","9","WR24","54","59","56.5","53"
"54","Xavier Worthy","KC","10","WR25","56","57","56.5","56  -2"
"55","Sam LaPorta","DET","8","TE4","52","65","58.5","51  +4"
"56","David Montgomery","HOU","6","RB22","55","62","58.5","60  -4"
"57","Isiah Pacheco","DET","8","RB23","62","55","58.5","54  +3"
"58","Jameson Williams","DET","8","WR26","57","61","59.0","58"
"59","Patrick Mahomes II","KC","10 ","QB6","64","56","60.0","49  +10"
"60","D'Andre Swift","CHI","5","RB24","75","47","61.0","55  +5"
"61","Zay Flowers","BAL","7","WR27","53","69","61.0","63  -2"
"62","Rashee Rice","KC","10 ","WR28","41","82","61.5","81  -19"
"63","George Pickens","DAL","10","WR29","61","63","62.0","57  +6"
"64","Tony Pollard","TEN","10","RB25","73","54","63.5","50  +14"
"65","Aaron Jones Sr.","MIN","6","RB26","67","60","63.5","66  -1"
"66","Calvin Ridley","TEN","10 ","WR30","77","58","67.5","65  +1"
"67","T.J. Hockenson","MIN","6","TE5","59","77","68.0","64  +3"
"68","Jerry Jeudy","CLE","9","WR31","71","66","68.5","83  -15"
"69","Travis Hunter","JAC","8 ","WR32","65","74","69.5","71  -2"
"70","Travis Kelce","KC","10","TE6","76","64","70.0","69  +1"
"71","Baker Mayfield","TB","9","QB7","74","67","70.5","73  -2"
"72","Jaylen Waddle","DEN","12","WR33","68","75","71.5","68  +4"
"73","Chris Olave","NO","11","WR34","69","76","72.5","80  -7"
"74","Tyrone Tracy Jr.","NYG","14","RB27","80","68","74.0","70  +4"
"75","Bo Nix","DEN","12","QB8","85","72","78.5","72  +3"
"76","Kaleb Johnson","PIT","5","RB28","79","78","78.5","74  +2"
"77","Rome Odunze","CHI","5","WR35","78","81","79.5","78  -1"
"78","Jaylen Warren","PIT","5","RB29","87","73","80.0","79  -1"
"79","Joe Mixon","","","RB30","46","120","83.0","123  -44"
"80","Jordan Addison","MIN","6","WR36","70","97","83.5","98  -18"
"81","Ricky Pearsall","SF","14","WR37","97","70","83.5","76  +5"
"82","Deebo Samuel Sr.","","","WR38","88","83","85.5","82"
"83","Mark Andrews","BAL","7","TE7","82","93","87.5","67  +16"
"84","Stefon Diggs","","","WR39","94","84","89.0","91  -7"
"85","Matthew Golden","GB","5","WR40","100","79","89.5","87  -2"
"86","Travis Etienne Jr.","NO","11","RB31","90","89","89.5","90  -4"
"87","Jakobi Meyers","JAC","8","WR41","84","96","90.0","97  -10"
"88","Cooper Kupp","SEA","8","WR42","92","88","90.0","104  -16"
"89","Evan Engram","DEN","12","TE8","91","91","91.0","93  -4"
"90","Khalil Shakir","BUF","7","WR43","83","101","92.0","108  -18"
"91","Chris Godwin Jr.","TB","9","WR44","72","114","93.0","118  -27"
"92","Emeka Egbuka","TB","9","WR45","117","71","94.0","75  +17"
"93","Quinshon Judkins","CLE","9 ","RB32","66","124","95.0","117  -24"
"94","Kyler Murray","MIN","6 ","QB9","96","95","95.5","85  +9"
"95","Zach Charbonnet","SEA","8","RB33","108","85","96.5","88  +7"
"96","Tyler Warren","IND","11","TE9","101","92","96.5","89  +7"
"97","Jordan Mason","MIN","6","RB34","116","80","98.0","77  +20"
"98","Javonte Williams","DAL","10","RB35","104","94","99.0","102  -4"
"99","Brian Robinson Jr.","ATL","5","RB36","81","118","99.5","124  -25"
"100","David Njoku","","","TE10","99","100","99.5","95  +5"
"101","Jared Goff","DET","8","QB10","98","104","101.0","115  -14"
"102","Jauan Jennings","","","WR46","102","103","102.5","103  -1"
"103","Dak Prescott","DAL","10","QB11","121","86","103.5","94  +9"
"104","Najee Harris","LAC","12 ","RB37","89","119","104.0","128  -24"
"105","Cam Skattebo","NYG","14 ","RB38","106","105","105.5","105"
"106","Caleb Williams","CHI","5","QB12","115","98","106.5","120  -14"
"107","Tucker Kraft","GB","5 ","TE11","114","102","108.0","96  +11"
"108","Rhamondre Stevenson","NE","14","RB39","105","111","108.0","112  -4"
"109","Jayden Reed","GB","5","WR47","95","122","108.5","122  -13"
"110","Michael Pittman Jr.","PIT","5","WR48","110","109","109.5","119  -9"
"111","Brock Purdy","SF","14","QB13","111","110","110.5","84  +27"
"112","J.K. Dobbins","DEN","12","RB40","132","90","111.0","86  +26"
"113","Josh Downs","IND","11","WR49","103","123","113.0","130  -17"
"114","Justin Herbert","LAC","12","QB14","109","121","115.0","116  -2"
"115","Colston Loveland","CHI","5","TE12","120","112","116.0","121  -6"
"116","Keon Coleman","BUF","7","WR50","118","115","116.5","114  +2"
"117","Jonnu Smith","","","TE13","86","151","118.5","170  -53"
"118","Brandon Aiyuk","SF","14","WR51","93","144","118.5","146  -28"
"119","Tank Bigsby","PHI","9","RB41","131","106","118.5","106  +13"
"120","Darnell Mooney","NYG","14","WR52","107","132","119.5","141  -21"
"121","Justin Fields","KC","10 ","QB15","124","116","120.0","110  +11"
"122","Austin Ekeler ","","","RB42","142","99","120.5","99  +23"
"123","Jake Ferguson","DAL","10","TE14","122","126","124.0","135  -12"
"124","Dalton Kincaid","BUF","7","TE15","113","141","127.0","132  -8"
"125","Jayden Higgins","HOU","6","WR53","119","136","127.5","159  -34"
"126","Drake Maye","NE","14","QB16","130","125","127.5","113  +13"
"127","Jaydon Blue","DAL","10","RB43","139","117","128.0","134  -7"
"128","Rachaad White","WAS","12","RB44","126","133","129.5","143  -15"
"129","Jordan Love","GB","5","QB17","123","139","131.0","133  -4"
"130","C.J. Stroud","HOU","6","QB18","127","137","132.0","152  -22"
"131","Jerome Ford","WAS","12 ","RB45","152","113","132.5","144  -13"
"132","Marvin Mims Jr.","DEN","12","WR54","135","130","132.5","160  -28"
"133","Tyjae Spears","TEN","10","RB46","112","154","133.0","174  -41"
"134","Bhayshul Tuten","JAC","8","RB47","137","131","134.0","131  +3"
"135","Trey Benson","ARI","8","RB48","149","127","138.0","137  -2"
"136","Rashid Shaheed","SEA","8","WR55","129","148","138.5","127  +9"
"137","J.J. McCarthy","MIN","6","QB19","140","138","139.0","147  -10"
"138","Trevor Lawrence","JAC","8","QB20","145","134","139.5","169  -31"
"139","Kyle Pitts Sr.","ATL","5","TE16","136","143","139.5","139"
"140","Nick Chubb","","","RB49","172","108","140.0","111  +29"
